,lat,lon,max_temp,humidity,wind_speed,cloudiness,country,date,name
251,64.3833,-173.3,35.71,60,8.99,20,RU,1665365019,Provideniya
252,-35.35,150.4667,55.33,66,4.63,81,AU,1665365019,Ulladulla
253,21.6967,-78.6328,79.38,75,11.99,6,CU,1665365019,Baraguá
254,58.3631,82.8265,43.29,90,11.79,100,RU,1665365019,Togur
255,36.1867,-94.1288,65.43,64,3.44,100,US,1665364951,Springdale
256,57.8406,108.3492,35.62,74,4.09,51,RU,1665365020,Alekseyevsk
257,59.2002,38.8356,38.34,96,5.82,0,RU,1665365020,Chebsara
258,5.5577,95.3222,79.5,77,5.59,100,ID,1665365020,Banda Aceh
259,-20.7377,116.8463,81.27,29,8.39,6,AU,1665365021,Karratha
260,-6.3264,108.32,82.83,70,5.08,100,ID,1665365021,Indramayu
261,68.5333,146.4167,25.41,59,8.9,98,RU,1665365021,Belaya Gora
262,18.3778,103.6601,74.86,77,7.29,81,LA,1665365022,Pakxan
263,12.6,37.4667,54.54,76,4.63,0,ET,1665365022,Gonder
264,18.8003,110.3967,75.25,83,16.93,99,CN,1665365022,Wanning
265,-7.2294,-44.5561,84.07,23,6.4,17,BR,1665365023,Uruçuí
266,-13.3047,-72.1158,56.3,72,5.77,97,PE,1665365023,Urubamba
267,-29.9533,-71.3436,55.13,82,3.44,100,CL,1665365023,Coquimbo
268,41.7597,86.1469,53.26,24,3.78,0,CN,1665365024,Korla
269,43.2,51.65,63.48,37,29.53,100,KZ,1665365024,Quryq
270,47.1053,-104.7125,65.16,41,3.44,0,US,1665365024,Glendive
271,-8.0089,-34.8553,80.33,74,11.5,75,BR,1665364800,Olinda
272,50.6789,156.125,46.72,61,13.65,32,RU,1665365024,Severo-Kuril'sk
273,61.9875,5.1352,49.87,24,38.45,98,NO,1665365025,Raudeberg
274,30.4397,48.1664,73.36,100,4.61,100,IR,1665365025,Khorramshahr
275,6.5,-9.5,71.01,100,1.68,48,LR,1665365025,Liberia
276,14.9709,8.8879,84.52,19,9.71,0,NE,1665365026,Tanout
277,-9.1061,124.8925,84.58,55,2.26,100,ID,1665365026,Atambua
278,59.5833,151.2833,32.14,75,3.22,50,RU,1665365027,Ola
279,30.3667,-107.95,65.07,60,3.27,7,MX,1665365027,Casas Grandes
280,22.8909,-109.9124,86.25,65,8.05,0,MX,1665364734,Cabo San Lucas
281,32.68,109.0172,51.73,61,1.16,100,CN,1665365027,Ankang
282,47.674,-122.1215,68.32,67,4.36,41,US,1665364867,Redmond
283,62.8833,152.4333,11.05,85,3.53,64,RU,1665365028,Seymchan
284,56.3724,75.2418,37.89,88,6.53,78,RU,1665365028,Muromtsevo
